user,degree_centrality,pagerank,betweenness
@MrwhosethebossPlus,0.004410143329658214,0.0029910597641460263,0.0
@CUBEY-RAM,0.002756339581036384,0.0020133660764110623,0.0
@Whyyobreathstank,0.002756339581036384,0.0020133660764110623,0.0
@venomouscustoms9531,0.002756339581036384,0.0020133660764110623,0.0
@Tackosking0805,0.002756339581036384,0.0020133660764110623,0.0
@presherebg,0.002756339581036384,0.0020133660764110623,0.0
@TechnoStrefa,0.002756339581036384,0.0020133660764110623,0.0
@SillehSam,0.002756339581036384,0.0020133660764110623,0.0
@Shubhankar2007d9,0.002756339581036384,0.0020133660764110623,0.0
@sattu--__--01--__02,0.002756339581036384,0.0020133660764110623,0.0
@AbhishekKumar036,0.002756339581036384,0.0018504171284552352,0.0
@Gurpreetkaur-ho6sc,0.0005512679162072767,0.001821114549473326,0.0
@有,0.002756339581036384,0.0017832840440074437,0.0
@bobz1736,0.002756339581036384,0.0017417844964846836,0.0
@tom.sawyer_ff,0.002756339581036384,0.0017417844964846836,0.0
@Jerrydisabled,0.002756339581036384,0.0017200579700905733,0.0
@SarahAyenDeng,0.002756339581036384,0.0016919325352379236,0.0
@SrirangBhiste,0.002205071664829107,0.0016874681804994079,0.0
@Respect_100.M,0.002205071664829107,0.0016874681804994079,0.0
@Michohnso.642,0.002205071664829107,0.0016874681804994079,0.0
@RiyonBusOfficial,0.010474090407938258,0.0016874681804994079,1.82438361679187e-05
@7OneWingedAngel7,0.002205071664829107,0.0016874681804994079,0.0
@sufyansameer188,0.002205071664829107,0.0016874681804994079,0.0
@seanlacroix,0.002205071664829107,0.0016874681804994079,0.0
@Palmiless,0.002205071664829107,0.0016874681804994079,0.0
@lynxmideditor,0.002205071664829107,0.0016874681804994079,0.0
@x-h4ckxor656,0.002756339581036384,0.0016874681804994079,1.2162557445279134e-06
@JohnJacobson555,0.002205071664829107,0.0016874681804994079,0.0
@UrasGuleryuz,0.002205071664829107,0.0016874681804994079,0.0
@बिग_स्मोक,0.002205071664829107,0.0016874681804994079,0.0
@its_maxx_9229,0.002205071664829107,0.0016874681804994079,0.0
@alejandrokeller9912,0.002205071664829107,0.0016874681804994079,0.0
@Just.cule10,0.002205071664829107,0.0016874681804994079,0.0
